id,product_id,customer_name,rating,title,content,verified_purchase,helpful_votes,review_date,size_worn,color_purchased
review_91ca8b8a,product_db8a00f4,Emily Johnson,5,Perfect for My Pacific Northwest Adventures!,"I absolutely love my Evergreen Trailblazer Sneakers! They're not only stylish but also incredibly comfortable for hiking in the lush forests of the Pacific Northwest. Plus, knowing they're made sustainably makes me feel even better about my purchase.",True,25,2023-09-15,8,Forest Green
review_9634af00,product_db8a00f4,Michael Chen,4,Great Sneakers for Everyday Use,"These sneakers are super versatile! I wear them to work and on weekend hikes. The fit is true to size and they're really lightweight, which I appreciate. Just wish they had more color options!",True,18,2023-09-20,10,Slate Grey
review_e5af97a2,product_db8a00f4,Samantha Lee,3,Decent but Not What I Expected,"I had high hopes for these sneakers given the price and eco-friendly claims. While they are comfortable, I found them to be a bit narrow for my feet. They work okay for light walks but not for longer hikes.",True,10,2023-09-25,9,Navy Blue
review_e133e5a1,product_db8a00f4,David Martinez,2,Not Durable Enough,"I wanted to love these sneakers, but they didn't hold up well after a few weeks of wear. The comfort is nice, but I expected more durability for the price. I’m disappointed as I really wanted to support a sustainable brand.",True,5,2023-09-30,11,Black
review_e4953a6a,product_db8a00f4,Olivia Thompson,5,Stylish and Eco-Friendly!,"These sneakers are a game changer! They're stylish enough for city life and functional for my weekend hikes. I love that they're made from sustainable materials, and they fit like a dream. Highly recommend!",True,30,2023-10-05,7,Earth Brown
review_25d22881,product_3eed4fe1,Emily Johnson,5,Perfect for Every Occasion!,"I absolutely love my Ocean Blue Urban Chinos! They fit perfectly and are so comfortable, making them ideal for both work and weekend outings. Plus, knowing they are made sustainably makes me feel great about my purchase.",True,12,2023-08-10,8,Ocean Blue
review_59d45727,product_3eed4fe1,Mark Thompson,4,Stylish and Functional,"These chinos are a fantastic addition to my wardrobe. The color is vibrant, and they transition well from a casual day in the city to a night out. I appreciate the eco-friendly materials used, making it a conscious choice as well.",True,8,2023-07-22,32,Ocean Blue
review_31414304,product_3eed4fe1,Sarah Lee,3,"Good, but Could be Better","While I like the style and sustainability aspect of these chinos, I found the fit a bit off around the waist. They are comfortable, but I wish they had a more tailored fit for my body type. Overall, decent for the price.",True,5,2023-09-05,6,Ocean Blue
review_82ecd2aa,product_3eed4fe1,James Carter,2,Not What I Expected,"I had high hopes for these chinos, but they didn't live up to my expectations. The fabric felt a bit stiff, and they were not as versatile as I had hoped. I love the brand's mission, but I might look for something else next time.",True,3,2023-09-15,34,Ocean Blue
review_d7810111,product_3eed4fe1,Megan O'Connor,5,My Go-To Chinos!,"These Ocean Blue Urban Chinos have become my go-to pants for everything! They are super versatile and pair well with my favorite flannel for a day hike or a casual day at the office. Plus, I love supporting a brand that cares about the environment!",True,15,2023-08-30,10,Ocean Blue
