product_id,product_name,product_description,product_price,product_sizes,product_colors,brand_id
1,Blossom Print Midi Dress,"Flowing midi dress with a vibrant blossom print, wrap front, V-neckline, and tie waist.",120.00,XS|S|M|L|XL,Pink Floral|Blue Floral,1
2,Pastel Trench Coat,"Classic trench coat in a soft pastel hue with double-breasted buttons, a belted waist, and side pockets.",150.00,XS|S|M|L|XL|XXL,Pastel Pink|Mint Green,1
3,Embroidered Lace Top,"Delicate lace top with floral embroidery, featuring a scalloped hem and sheer short sleeves.",85.00,XS|S|M|L|XL,Ivory|Sky Blue,1
4,Spring Fling Floral Skirt,"A-line skirt with a cheerful floral print, mid-length, and a high-rise waist.",60.00,XS|S|M|L|XL,Red Floral|Yellow Floral,1
5,Lightweight Linen Blazer,"Structured yet breathable linen blazer, perfect for layering over spring outfits.",130.00,XS|S|M|L|XL,Beige|Light Blue,1
6,Garden Party Maxi Dress,"Sleeveless maxi dress with an all-over garden party print, V-neck, and adjustable straps.",145.00,XS|S|M|L|XL,Multi-color Floral,1
7,Soft Satin Camisole,"Luxe satin camisole, ideal for layering or wearing solo, with adjustable spaghetti straps.",50.00,XS|S|M|L|XL,Blush|Lavender|Cream,1
8,Pleated Chiffon Blouse,Light and airy chiffon blouse with pleated details and bishop sleeves.,75.00,XS|S|M|L|XL,Pale Yellow|Soft Peach,1
9,Cropped Denim Jacket,"Cropped jacket in light-wash denim, perfect for a casual spring day out.",90.00,XS|S|M|L|XL,Light Wash,1
10,Floral Embossed Sneakers,"Comfortable slip-on sneakers with a floral embossed pattern, ideal for adding a fun twist to any outfit.",65.00,5|6|7|8|9|10,White Floral|Pink Floral,1
11,Floral Canvas Tote,"Sturdy canvas tote bag with a large floral print, perfect for spring outings or as a stylish market bag.",45.00,One Size,Floral Print,1
12,Sheer Floral Kimono,"Sheer kimono with a loose fit and a delicate floral pattern, ideal for beach days or as a light layer.",70.00,One Size,Soft Pink|Clear Sky Blue,1
13,Ruffled Hem Shorts,"Casual shorts with a ruffled hem and lightweight fabric, perfect for warm spring days.",55.00,XS|S|M|L|XL,White|Navy Blue,1
